Country,Year,CPI
Afghanistan,1/01/2005 0:00,12.68626872
Afghanistan,1/01/2006 0:00,7.254895561
Afghanistan,1/01/2007 0:00,8.482889268
Afghanistan,1/01/2008 0:00,30.55494061
Afghanistan,1/01/2009 0:00,-8.283078395
Afghanistan,1/01/2010 0:00,0.892536936
Afghanistan,1/01/2011 0:00,10.20166014
Afghanistan,1/01/2012 0:00,7.218257761
Afghanistan,1/01/2013 0:00,7.654316567
Afghanistan,1/01/2014 0:00,4.604334009
Albania,1/01/1992 0:00,226.0054213
Albania,1/01/1993 0:00,85.00475124
Albania,1/01/1994 0:00,22.56505269
Albania,1/01/1995 0:00,7.793218538
Albania,1/01/1996 0:00,12.72547781
Albania,1/01/1997 0:00,33.18027438
Albania,1/01/1998 0:00,20.64285887
Albania,1/01/1999 0:00,0.389437654
Albania,1/01/2000 0:00,0.050018136
Albania,1/01/2001 0:00,3.10758827
Albania,1/01/2002 0:00,7.770525834
Albania,1/01/2003 0:00,0.484002612
Albania,1/01/2004 0:00,2.280019169
Albania,1/01/2005 0:00,2.366581957
Albania,1/01/2006 0:00,2.370728319
Albania,1/01/2007 0:00,2.932682482
Albania,1/01/2008 0:00,3.359242418
Albania,1/01/2009 0:00,2.280502222
Albania,1/01/2010 0:00,3.552267388
Albania,1/01/2011 0:00,3.450347153
Albania,1/01/2012 0:00,2.03159594
Albania,1/01/2013 0:00,1.937617549
Albania,1/01/2014 0:00,1.63403338
Algeria,1/01/1990 0:00,16.65253439
Algeria,1/01/1991 0:00,25.88638693
Algeria,1/01/1992 0:00,31.66966191
Algeria,1/01/1993 0:00,20.54032612
Algeria,1/01/1994 0:00,29.04765612
Algeria,1/01/1995 0:00,29.77962649
Algeria,1/01/1996 0:00,18.67907586
Algeria,1/01/1997 0:00,5.733522754
Algeria,1/01/1998 0:00,4.950161638
Algeria,1/01/1999 0:00,2.645511134
Algeria,1/01/2000 0:00,0.339163189
Algeria,1/01/2001 0:00,4.225988349
Algeria,1/01/2002 0:00,1.418301923
Algeria,1/01/2003 0:00,4.268953958
Algeria,1/01/2004 0:00,3.961800303
Algeria,1/01/2005 0:00,1.382446567
Algeria,1/01/2006 0:00,2.314524087
Algeria,1/01/2007 0:00,3.673827269
Algeria,1/01/2008 0:00,4.862990528
Algeria,1/01/2009 0:00,5.734333414
Algeria,1/01/2010 0:00,3.913043478
Algeria,1/01/2011 0:00,4.521764663
Algeria,1/01/2012 0:00,8.894585294
Algeria,1/01/2013 0:00,3.253684177
Algeria,1/01/2014 0:00,2.916406413
Angola,1/01/1996 0:00,4145.107647
Angola,1/01/1997 0:00,219.1767212
Angola,1/01/1998 0:00,107.2848215
Angola,1/01/1999 0:00,248.1959024
Angola,1/01/2000 0:00,324.9968716
Angola,1/01/2001 0:00,152.5610225
Angola,1/01/2002 0:00,108.8974361
Angola,1/01/2003 0:00,98.2237177
Angola,1/01/2004 0:00,43.54194725
Angola,1/01/2005 0:00,22.96374444
Angola,1/01/2006 0:00,13.30325336
Angola,1/01/2007 0:00,12.24867552
Angola,1/01/2008 0:00,12.47371341
Angola,1/01/2009 0:00,13.73145114
Angola,1/01/2010 0:00,14.4705412
Angola,1/01/2011 0:00,13.46701535
Angola,1/01/2012 0:00,10.29349433
Angola,1/01/2013 0:00,8.776090933
Angola,1/01/2014 0:00,7.279561541
Antigua and Barbuda,1/01/1999 0:00,1.121287896
Antigua and Barbuda,1/01/2000 0:00,0.771779797
Antigua and Barbuda,1/01/2001 0:00,1.402796636
Antigua and Barbuda,1/01/2002 0:00,2.407658013
Antigua and Barbuda,1/01/2003 0:00,1.993530552
Antigua and Barbuda,1/01/2004 0:00,2.030077579
Antigua and Barbuda,1/01/2005 0:00,2.098751967
Antigua and Barbuda,1/01/2006 0:00,1.787785374
Antigua and Barbuda,1/01/2007 0:00,1.416052594
Antigua and Barbuda,1/01/2008 0:00,5.333806398
Antigua and Barbuda,1/01/2009 0:00,-0.550159996
Antigua and Barbuda,1/01/2010 0:00,3.370025402
Antigua and Barbuda,1/01/2011 0:00,3.456749672
Antigua and Barbuda,1/01/2012 0:00,3.376880443
Antigua and Barbuda,1/01/2013 0:00,1.059497824
Antigua and Barbuda,1/01/2014 0:00,1.089441574
Armenia,1/01/1994 0:00,3373.474139
Armenia,1/01/1995 0:00,175.9513255
Armenia,1/01/1996 0:00,18.68118564
Armenia,1/01/1997 0:00,13.96076412
Armenia,1/01/1998 0:00,8.672486324
Armenia,1/01/1999 0:00,0.64824576
Armenia,1/01/2000 0:00,-0.790883769
Armenia,1/01/2001 0:00,3.145904647
Armenia,1/01/2002 0:00,1.060049293
Armenia,1/01/2003 0:00,4.721553366
Armenia,1/01/2004 0:00,6.961261359
Armenia,1/01/2005 0:00,0.642343268
Armenia,1/01/2006 0:00,2.892356625
Armenia,1/01/2007 0:00,4.407360896
Armenia,1/01/2008 0:00,8.949953354
Armenia,1/01/2009 0:00,3.406766827
Armenia,1/01/2010 0:00,8.181575544
Armenia,1/01/2011 0:00,7.651233638
Armenia,1/01/2012 0:00,2.5554709
Armenia,1/01/2013 0:00,5.793787917
Armenia,1/01/2014 0:00,2.980988073
Australia,1/01/1990 0:00,7.272260054
Australia,1/01/1991 0:00,3.222679913
Australia,1/01/1992 0:00,0.985915493
Australia,1/01/1993 0:00,1.813110181
Australia,1/01/1994 0:00,1.894977169
Australia,1/01/1995 0:00,4.638135783
Australia,1/01/1996 0:00,2.6124197
Australia,1/01/1997 0:00,0.250417362
Australia,1/01/1998 0:00,0.853455454
Australia,1/01/1999 0:00,1.465428277
Australia,1/01/2000 0:00,4.475183076
Australia,1/01/2001 0:00,4.380841121
Australia,1/01/2002 0:00,3.00317105
Australia,1/01/2003 0:00,2.770735241
Australia,1/01/2004 0:00,2.343612335
Australia,1/01/2005 0:00,2.668732782
Australia,1/01/2006 0:00,3.538487339
Australia,1/01/2007 0:00,2.332361516
Australia,1/01/2008 0:00,4.352643242
Australia,1/01/2009 0:00,1.82011224
Australia,1/01/2010 0:00,2.845225682
Australia,1/01/2011 0:00,3.303850156
Australia,1/01/2012 0:00,1.762780156
Australia,1/01/2013 0:00,2.449888641
Australia,1/01/2014 0:00,2.487922705
Austria,1/01/1990 0:00,3.262322144
Austria,1/01/1991 0:00,3.334348356
Austria,1/01/1992 0:00,4.029762782
Austria,1/01/1993 0:00,3.625805538
Austria,1/01/1994 0:00,2.959065127
Austria,1/01/1995 0:00,2.250099562
Austria,1/01/1996 0:00,1.843557287
Austria,1/01/1997 0:00,1.308321332
Austria,1/01/1998 0:00,0.921274845
Austria,1/01/1999 0:00,0.56240939
Austria,1/01/2000 0:00,2.395185512
Austria,1/01/2001 0:00,2.663440722
Austria,1/01/2002 0:00,1.802101999
Austria,1/01/2003 0:00,1.355541125
Austria,1/01/2004 0:00,2.061228151
Austria,1/01/2005 0:00,2.304765879
Austria,1/01/2006 0:00,1.449618451
Austria,1/01/2007 0:00,2.168599053
Austria,1/01/2008 0:00,3.21592066
Austria,1/01/2009 0:00,0.506312509
Austria,1/01/2010 0:00,1.813535031
Austria,1/01/2011 0:00,3.266938912
Austria,1/01/2012 0:00,2.485675087
Austria,1/01/2013 0:00,2.000157493
Austria,1/01/2014 0:00,1.605805605
Bahamas,1/01/1990 0:00,4.66931912
Bahamas,1/01/1991 0:00,7.114681202
Bahamas,1/01/1992 0:00,5.738198862
Bahamas,1/01/1993 0:00,2.72289767
Bahamas,1/01/1994 0:00,1.399334237
Bahamas,1/01/1995 0:00,2.066994954
Bahamas,1/01/1996 0:00,1.379137412
Bahamas,1/01/1997 0:00,0.544150383
Bahamas,1/01/1998 0:00,1.336613366
Bahamas,1/01/1999 0:00,1.25424826
Bahamas,1/01/2000 0:00,1.606329417
Bahamas,1/01/2001 0:00,2.044989775
Bahamas,1/01/2002 0:00,2.173577925
Bahamas,1/01/2003 0:00,3.025045263
Bahamas,1/01/2004 0:00,0.981914037
Bahamas,1/01/2005 0:00,1.591606181
Bahamas,1/01/2006 0:00,2.389826274
Bahamas,1/01/2007 0:00,2.492577949
Bahamas,1/01/2008 0:00,4.489559954
Bahamas,1/01/2009 0:00,2.062734735
Bahamas,1/01/2010 0:00,1.344027384
Bahamas,1/01/2011 0:00,3.198781417
Bahamas,1/01/2012 0:00,1.984598107
Bahamas,1/01/2013 0:00,0.346878097
Bahamas,1/01/2014 0:00,1.504464399
Bahrain,1/01/1990 0:00,0.929335437
Bahrain,1/01/1991 0:00,0.764419736
Bahrain,1/01/1992 0:00,-0.172413793
Bahrain,1/01/1993 0:00,2.538860104
Bahrain,1/01/1994 0:00,0.816910898
Bahrain,1/01/1995 0:00,2.704034751
Bahrain,1/01/1996 0:00,-0.452227383
Bahrain,1/01/1997 0:00,2.43155134
Bahrain,1/01/1998 0:00,-0.366533865
Bahrain,1/01/1999 0:00,-1.287587972
Bahrain,1/01/2000 0:00,-0.704852953
Bahrain,1/01/2001 0:00,-1.207571802
Bahrain,1/01/2002 0:00,-0.495540139
Bahrain,1/01/2003 0:00,1.593625498
Bahrain,1/01/2004 0:00,2.352941176
Bahrain,1/01/2005 0:00,2.586206897
Bahrain,1/01/2006 0:00,2.007469655
Bahrain,1/01/2007 0:00,3.256666667
Bahrain,1/01/2008 0:00,3.526003164
Bahrain,1/01/2009 0:00,2.795512836
Bahrain,1/01/2010 0:00,1.961884683
Bahrain,1/01/2011 0:00,-0.36444775
Bahrain,1/01/2012 0:00,2.754553598
Bahrain,1/01/2013 0:00,3.189248093
Bahrain,1/01/2014 0:00,2.766826246
Bangladesh,1/01/1990 0:00,6.12671847
Bangladesh,1/01/1991 0:00,6.357364123
Bangladesh,1/01/1992 0:00,3.634076918
Bangladesh,1/01/1993 0:00,3.0148186
Bangladesh,1/01/1994 0:00,5.313740079
Bangladesh,1/01/1995 0:00,10.29781179
Bangladesh,1/01/1996 0:00,2.37712903
Bangladesh,1/01/1997 0:00,5.305601057
Bangladesh,1/01/1998 0:00,8.402237956
Bangladesh,1/01/1999 0:00,6.106695898
Bangladesh,1/01/2000 0:00,2.208256209
Bangladesh,1/01/2001 0:00,2.007173742
Bangladesh,1/01/2002 0:00,3.332564933
Bangladesh,1/01/2003 0:00,5.668707734
Bangladesh,1/01/2004 0:00,7.587536385
Bangladesh,1/01/2005 0:00,7.046618162
Bangladesh,1/01/2006 0:00,6.765261171
Bangladesh,1/01/2007 0:00,9.106984969
Bangladesh,1/01/2008 0:00,8.901944895
Bangladesh,1/01/2009 0:00,5.423472362
Bangladesh,1/01/2010 0:00,8.126676392
Bangladesh,1/01/2011 0:00,10.7048046
Bangladesh,1/01/2012 0:00,6.21818237
Bangladesh,1/01/2013 0:00,7.529972823
Bangladesh,1/01/2014 0:00,6.991165327
Barbados,1/01/1990 0:00,3.074572711
Barbados,1/01/1991 0:00,6.257526633
Barbados,1/01/1992 0:00,6.09389303
Barbados,1/01/1993 0:00,1.113439336
Barbados,1/01/1994 0:00,0.077204388
Barbados,1/01/1995 0:00,1.878862794
Barbados,1/01/1996 0:00,2.386152228
Barbados,1/01/1997 0:00,7.71053879
Barbados,1/01/1998 0:00,-1.268886607
Barbados,1/01/1999 0:00,1.560062402
Barbados,1/01/2000 0:00,2.435813035
Barbados,1/01/2001 0:00,2.577834904
Barbados,1/01/2002 0:00,0.125249458
Barbados,1/01/2003 0:00,1.619433198
Barbados,1/01/2004 0:00,1.394422311
Barbados,1/01/2005 0:00,6.082187295
Barbados,1/01/2006 0:00,7.307662628
Barbados,1/01/2007 0:00,4.034229829
Barbados,1/01/2008 0:00,8.108108108
Barbados,1/01/2009 0:00,3.643861893
Barbados,1/01/2010 0:00,5.824218533
Barbados,1/01/2011 0:00,9.432202402
Barbados,1/01/2012 0:00,4.533347539
Barbados,1/01/2013 0:00,1.804005504
Barbados,1/01/2014 0:00,1.887170246
Belgium,1/01/1990 0:00,3.452823015
Belgium,1/01/1991 0:00,3.208551968
Belgium,1/01/1992 0:00,2.429913623
Belgium,1/01/1993 0:00,2.753963029
Belgium,1/01/1994 0:00,2.377798575
Belgium,1/01/1995 0:00,1.466813864
Belgium,1/01/1996 0:00,2.058919327
Belgium,1/01/1997 0:00,1.627459314
Belgium,1/01/1998 0:00,0.954442586
Belgium,1/01/1999 0:00,1.118421053
Belgium,1/01/2000 0:00,2.54463963
Belgium,1/01/2001 0:00,2.474444836
Belgium,1/01/2002 0:00,1.641900569
Belgium,1/01/2003 0:00,1.592816533
Belgium,1/01/2004 0:00,2.091938708
Belgium,1/01/2005 0:00,2.784303489
Belgium,1/01/2006 0:00,1.79094071
Belgium,1/01/2007 0:00,1.823020755
Belgium,1/01/2008 0:00,4.487443392
Belgium,1/01/2009 0:00,-0.053145674
Belgium,1/01/2010 0:00,2.189299204
Belgium,1/01/2011 0:00,3.532082107
Belgium,1/01/2012 0:00,2.839663434
Belgium,1/01/2013 0:00,1.113938556
Belgium,1/01/2014 0:00,0.34
Belize,1/01/1990 0:00,3.05907173
Belize,1/01/1991 0:00,4.631525077
Belize,1/01/1992 0:00,2.421129861
Belize,1/01/1993 0:00,1.480420248
Belize,1/01/1994 0:00,2.588235294
Belize,1/01/1995 0:00,2.889908257
Belize,1/01/1996 0:00,6.397681676
Belize,1/01/1997 0:00,1.047559187
Belize,1/01/1998 0:00,-0.870827286
Belize,1/01/1999 0:00,-1.213135327
Belize,1/01/2000 0:00,0.614016515
Belize,1/01/2001 0:00,1.157407407
Belize,1/01/2002 0:00,2.205117537
Belize,1/01/2003 0:00,2.605332791
Belize,1/01/2004 0:00,3.094624083
Belize,1/01/2005 0:00,3.636713489
Belize,1/01/2006 0:00,4.232845897
Belize,1/01/2007 0:00,2.315984293
Belize,1/01/2008 0:00,6.389275766
Belize,1/01/2009 0:00,-1.080019637
Belize,1/01/2010 0:00,5.579629184
Belize,1/01/2011 0:00,-3.653482695
Belize,1/01/2012 0:00,1.306449816
Belize,1/01/2013 0:00,0.652552117
Belize,1/01/2014 0:00,0.910664742
Benin,1/01/1993 0:00,0.440599215
Benin,1/01/1994 0:00,38.53086617
Benin,1/01/1995 0:00,14.46254822
Benin,1/01/1996 0:00,4.914239726
Benin,1/01/1997 0:00,3.466295906
Benin,1/01/1998 0:00,5.753314584
Benin,1/01/1999 0:00,0.326722893
Benin,1/01/2000 0:00,4.165404423
Benin,1/01/2001 0:00,3.984295478
Benin,1/01/2002 0:00,2.489162355
Benin,1/01/2003 0:00,1.487242461
Benin,1/01/2004 0:00,0.873890831
Benin,1/01/2005 0:00,5.364520858
Benin,1/01/2006 0:00,3.782176965
Benin,1/01/2007 0:00,1.298068133
Benin,1/01/2008 0:00,7.947298761
Benin,1/01/2009 0:00,2.156829962
Benin,1/01/2010 0:00,2.307356822
Benin,1/01/2011 0:00,2.71280052
Benin,1/01/2012 0:00,6.753123517
Benin,1/01/2013 0:00,0.971851852
Benin,1/01/2014 0:00,-1.087211691
Bhutan,1/01/1990 0:00,10
Bhutan,1/01/1991 0:00,12.28070175
Bhutan,1/01/1992 0:00,15.98011364
Bhutan,1/01/1993 0:00,11.20636865
Bhutan,1/01/1994 0:00,6.99339207
Bhutan,1/01/1995 0:00,9.495625322
Bhutan,1/01/1996 0:00,8.789659224
Bhutan,1/01/1997 0:00,6.513285807
Bhutan,1/01/1998 0:00,10.57702059
Bhutan,1/01/1999 0:00,6.77732942
Bhutan,1/01/2000 0:00,4.01099373
Bhutan,1/01/2001 0:00,3.410404624
Bhutan,1/01/2002 0:00,2.483430488
Bhutan,1/01/2003 0:00,1.566152408
Bhutan,1/01/2004 0:00,-18.10863013
Bhutan,1/01/2005 0:00,5.311513063
Bhutan,1/01/2006 0:00,5.00045438
Bhutan,1/01/2007 0:00,5.156111388
Bhutan,1/01/2008 0:00,8.327160494
Bhutan,1/01/2009 0:00,4.361122191
Bhutan,1/01/2010 0:00,7.036383161
Bhutan,1/01/2011 0:00,8.848985699
Bhutan,1/01/2012 0:00,10.91965694
Bhutan,1/01/2013 0:00,7.006666667
Bhutan,1/01/2014 0:00,8.206545146
Bolivia,1/01/1990 0:00,17.1187746
Bolivia,1/01/1991 0:00,21.44706982
Bolivia,1/01/1992 0:00,12.0603236
Bolivia,1/01/1993 0:00,8.527876957
Bolivia,1/01/1994 0:00,7.874044215
Bolivia,1/01/1995 0:00,10.19320676
Bolivia,1/01/1996 0:00,12.42548662
Bolivia,1/01/1997 0:00,4.70844436
Bolivia,1/01/1998 0:00,7.673228957
Bolivia,1/01/1999 0:00,2.159516268
Bolivia,1/01/2000 0:00,4.608229989
Bolivia,1/01/2001 0:00,1.589653779
Bolivia,1/01/2002 0:00,0.928258852
Bolivia,1/01/2003 0:00,3.337274997
Bolivia,1/01/2004 0:00,4.437380801
Bolivia,1/01/2005 0:00,5.393231069
Bolivia,1/01/2006 0:00,4.285549266
Bolivia,1/01/2007 0:00,8.706247231
Bolivia,1/01/2008 0:00,14.00040758
Bolivia,1/01/2009 0:00,3.349369826
Bolivia,1/01/2010 0:00,2.501767027
Bolivia,1/01/2011 0:00,9.812689841
Bolivia,1/01/2012 0:00,4.586374696
Bolivia,1/01/2013 0:00,5.715580098
Bolivia,1/01/2014 0:00,5.783563722
Bosnia and Herzegovina,1/01/2006 0:00,6.125
Bosnia and Herzegovina,1/01/2007 0:00,1.515508441
Bosnia and Herzegovina,1/01/2008 0:00,7.416856492
Bosnia and Herzegovina,1/01/2009 0:00,-0.390194249
Bosnia and Herzegovina,1/01/2010 0:00,2.188537852
Bosnia and Herzegovina,1/01/2011 0:00,3.675
Bosnia and Herzegovina,1/01/2012 0:00,2.049674463
Bosnia and Herzegovina,1/01/2013 0:00,-0.086641462
Bosnia and Herzegovina,1/01/2014 0:00,-0.930232558
Botswana,1/01/1990 0:00,11.39634612
Botswana,1/01/1991 0:00,11.76501608
Botswana,1/01/1992 0:00,16.1676124
Botswana,1/01/1993 0:00,14.33080334
Botswana,1/01/1994 0:00,10.54292099
Botswana,1/01/1995 0:00,10.51254608
Botswana,1/01/1996 0:00,10.08285807
Botswana,1/01/1997 0:00,8.719931271
Botswana,1/01/1998 0:00,6.661398657
Botswana,1/01/1999 0:00,7.749296192
Botswana,1/01/2000 0:00,8.601485149
Botswana,1/01/2001 0:00,6.55903767
Botswana,1/01/2002 0:00,8.032796625
Botswana,1/01/2003 0:00,9.189902656
Botswana,1/01/2004 0:00,6.945703637
Botswana,1/01/2005 0:00,8.610225285
Botswana,1/01/2006 0:00,11.55521879
Botswana,1/01/2007 0:00,7.080998472
Botswana,1/01/2008 0:00,12.70218839
Botswana,1/01/2009 0:00,8.027297031
Botswana,1/01/2010 0:00,6.948876587
Botswana,1/01/2011 0:00,8.458165875
Botswana,1/01/2012 0:00,7.540284094
Botswana,1/01/2013 0:00,5.883888483
Botswana,1/01/2014 0:00,4.40313594
Brazil,1/01/1990 0:00,2947.73293
Brazil,1/01/1991 0:00,432.7846016
Brazil,1/01/1992 0:00,951.6484599
Brazil,1/01/1993 0:00,1927.983498
Brazil,1/01/1994 0:00,2075.887182
Brazil,1/01/1995 0:00,66.00787631
Brazil,1/01/1996 0:00,15.7574361
Brazil,1/01/1997 0:00,6.925316945
Brazil,1/01/1998 0:00,3.198591891
Brazil,1/01/1999 0:00,4.857966241
Brazil,1/01/2000 0:00,7.044702451
Brazil,1/01/2001 0:00,6.837830757
Brazil,1/01/2002 0:00,8.450220696
Brazil,1/01/2003 0:00,14.71532583
Brazil,1/01/2004 0:00,6.599124847
Brazil,1/01/2005 0:00,6.86734958
Brazil,1/01/2006 0:00,4.183680532
Brazil,1/01/2007 0:00,3.637027934
Brazil,1/01/2008 0:00,5.663098519
Brazil,1/01/2009 0:00,4.886408444
Brazil,1/01/2010 0:00,5.038316946
Brazil,1/01/2011 0:00,6.636198657
Brazil,1/01/2012 0:00,5.40196475
Brazil,1/01/2013 0:00,6.201899613
Brazil,1/01/2014 0:00,6.332092342
Brunei,1/01/1990 0:00,2.138662932
Brunei,1/01/1991 0:00,1.6
Brunei,1/01/1992 0:00,1.279527559
Brunei,1/01/1993 0:00,4.25170068
Brunei,1/01/1994 0:00,2.462518449
Brunei,1/01/1995 0:00,5.966641395
Brunei,1/01/1996 0:00,1.99613651
Brunei,1/01/1997 0:00,1.711560045
Brunei,1/01/1998 0:00,-0.44137931
Brunei,1/01/1999 0:00,-0.415627598
Brunei,1/01/2000 0:00,1.558152476
Brunei,1/01/2001 0:00,0.595890411
Brunei,1/01/2002 0:00,-2.314972425
Brunei,1/01/2003 0:00,0.3
Brunei,1/01/2004 0:00,0.814223995
Brunei,1/01/2005 0:00,1.244437119
Brunei,1/01/2006 0:00,0.159888078
Brunei,1/01/2007 0:00,0.96777412
Brunei,1/01/2008 0:00,2.084980237
Brunei,1/01/2009 0:00,1.035717743
Brunei,1/01/2010 0:00,0.356869132
Brunei,1/01/2011 0:00,2.015934385
Brunei,1/01/2012 0:00,0.464102858
Brunei,1/01/2013 0:00,0.383263086
Brunei,1/01/2014 0:00,-0.194426292
Bulgaria,1/01/1990 0:00,23.8
Bulgaria,1/01/1991 0:00,338.4491115
Bulgaria,1/01/1992 0:00,91.29793273
Bulgaria,1/01/1993 0:00,72.87879139
Bulgaria,1/01/1994 0:00,96.05733827
Bulgaria,1/01/1995 0:00,62.05483368
Bulgaria,1/01/1996 0:00,121.6075
Bulgaria,1/01/1997 0:00,1058.373852
Bulgaria,1/01/1998 0:00,18.67225979
Bulgaria,1/01/1999 0:00,2.573009064
Bulgaria,1/01/2000 0:00,10.3162598
Bulgaria,1/01/2001 0:00,7.360950516
Bulgaria,1/01/2002 0:00,5.810130513
Bulgaria,1/01/2003 0:00,2.157107037
Bulgaria,1/01/2004 0:00,6.346133143
Bulgaria,1/01/2005 0:00,5.038843534
Bulgaria,1/01/2006 0:00,7.261613313
Bulgaria,1/01/2007 0:00,8.402486753
Bulgaria,1/01/2008 0:00,12.34877209
Bulgaria,1/01/2009 0:00,2.753172487
Bulgaria,1/01/2010 0:00,2.438990605
Bulgaria,1/01/2011 0:00,4.219903466
Bulgaria,1/01/2012 0:00,2.954568298
Bulgaria,1/01/2013 0:00,0.890093541
Bulgaria,1/01/2014 0:00,-1.418122662
Burkina Faso,1/01/1990 0:00,-0.504303389
Burkina Faso,1/01/1991 0:00,2.162600527
Burkina Faso,1/01/1992 0:00,-1.991135807
Burkina Faso,1/01/1993 0:00,0.553455724
Burkina Faso,1/01/1994 0:00,25.17787622
Burkina Faso,1/01/1995 0:00,7.458844978
Burkina Faso,1/01/1996 0:00,6.097804391
Burkina Faso,1/01/1997 0:00,2.318690622
Burkina Faso,1/01/1998 0:00,5.084333441
Burkina Faso,1/01/1999 0:00,-1.072613628
Burkina Faso,1/01/2000 0:00,-0.304212168
Burkina Faso,1/01/2001 0:00,5.007432908
Burkina Faso,1/01/2002 0:00,2.175694807
Burkina Faso,1/01/2003 0:00,2.034565741
Burkina Faso,1/01/2004 0:00,-0.400228702
Burkina Faso,1/01/2005 0:00,6.415040184
Burkina Faso,1/01/2006 0:00,2.333108564
Burkina Faso,1/01/2007 0:00,-0.230627306
Burkina Faso,1/01/2008 0:00,10.6597979
Burkina Faso,1/01/2009 0:00,2.608176664
Burkina Faso,1/01/2010 0:00,-0.764230735
Burkina Faso,1/01/2011 0:00,2.759767249
Burkina Faso,1/01/2012 0:00,3.818152403
Burkina Faso,1/01/2013 0:00,0.533738507
Burkina Faso,1/01/2014 0:00,-0.244138733
Burundi,1/01/1990 0:00,7.002169567
Burundi,1/01/1991 0:00,8.996938735
Burundi,1/01/1992 0:00,1.823333333
Burundi,1/01/1993 0:00,9.679346581
Burundi,1/01/1994 0:00,14.85281498
Burundi,1/01/1995 0:00,19.26325364
Burundi,1/01/1996 0:00,26.43678161
Burundi,1/01/1997 0:00,31.11158983
Burundi,1/01/1998 0:00,12.50041077
Burundi,1/01/1999 0:00,3.385424273
Burundi,1/01/2000 0:00,24.31768096
Burundi,1/01/2001 0:00,9.242971751
Burundi,1/01/2002 0:00,-1.370974453
Burundi,1/01/2003 0:00,10.76166973
Burundi,1/01/2004 0:00,7.851688218
Burundi,1/01/2005 0:00,13.52367836
Burundi,1/01/2006 0:00,2.809014978
Burundi,1/01/2007 0:00,8.342032406
Burundi,1/01/2008 0:00,24.10735481
Burundi,1/01/2009 0:00,10.98146877
Burundi,1/01/2010 0:00,6.401249024
Burundi,1/01/2011 0:00,9.735019199
Burundi,1/01/2012 0:00,18.01281606
Burundi,1/01/2013 0:00,7.950674328
Burundi,1/01/2014 0:00,4.379840041
Cambodia,1/01/1995 0:00,-0.798944338
Cambodia,1/01/1996 0:00,7.150861409
Cambodia,1/01/1997 0:00,7.960213978
Cambodia,1/01/1998 0:00,14.80650354
Cambodia,1/01/1999 0:00,4.008207021
Cambodia,1/01/2000 0:00,-0.791992529
Cambodia,1/01/2001 0:00,-0.6006483
Cambodia,1/01/2002 0:00,3.225083615
Cambodia,1/01/2003 0:00,1.210011336
Cambodia,1/01/2004 0:00,3.924781663
Cambodia,1/01/2005 0:00,6.349255065
Cambodia,1/01/2006 0:00,6.143255757
Cambodia,1/01/2007 0:00,7.66839343
Cambodia,1/01/2008 0:00,24.99717885
Cambodia,1/01/2009 0:00,-0.661307602
Cambodia,1/01/2010 0:00,3.99623008
Cambodia,1/01/2011 0:00,5.478587304
Cambodia,1/01/2012 0:00,2.932724618
Cambodia,1/01/2013 0:00,2.94260016
Cambodia,1/01/2014 0:00,3.855238553
Cameroon,1/01/1990 0:00,1.099381284
Cameroon,1/01/1991 0:00,0.060051331
Cameroon,1/01/1992 0:00,-0.016055046
Cameroon,1/01/1993 0:00,-3.206554569
Cameroon,1/01/1994 0:00,35.09446185
Cameroon,1/01/1995 0:00,9.069690719
Cameroon,1/01/1996 0:00,3.924063727
Cameroon,1/01/1997 0:00,4.786238819
Cameroon,1/01/1998 0:00,3.170751854
Cameroon,1/01/1999 0:00,1.871745007
Cameroon,1/01/2000 0:00,1.22719013
Cameroon,1/01/2001 0:00,4.419772459
Cameroon,1/01/2002 0:00,2.834422601
Cameroon,1/01/2003 0:00,0.623163557
Cameroon,1/01/2004 0:00,0.23364738
Cameroon,1/01/2005 0:00,2.013539502
Cameroon,1/01/2006 0:00,5.11757816
Cameroon,1/01/2007 0:00,0.921402246
Cameroon,1/01/2008 0:00,5.337806276
Cameroon,1/01/2009 0:00,3.043618479
Cameroon,1/01/2010 0:00,1.275380462
Cameroon,1/01/2011 0:00,2.939699463
Cameroon,1/01/2012 0:00,2.942510001
Cameroon,1/01/2013 0:00,1.945145275
Cameroon,1/01/2014 0:00,1.947948268
Canada,1/01/1990 0:00,4.764688688
Canada,1/01/1991 0:00,5.615234375
Canada,1/01/1992 0:00,1.505845056
Canada,1/01/1993 0:00,1.84136899
Canada,1/01/1994 0:00,0.185279836
Canada,1/01/1995 0:00,2.168229067
Canada,1/01/1996 0:00,1.570531125
Canada,1/01/1997 0:00,1.621216381
Canada,1/01/1998 0:00,0.995942457
Canada,1/01/1999 0:00,1.734842951
Canada,1/01/2000 0:00,2.719439957
Canada,1/01/2001 0:00,2.52512014
Canada,1/01/2002 0:00,2.258394409
Canada,1/01/2003 0:00,2.758563214
Canada,1/01/2004 0:00,1.857258719
Canada,1/01/2005 0:00,2.213552034
Canada,1/01/2006 0:00,2.002025395
Canada,1/01/2007 0:00,2.138383993
Canada,1/01/2008 0:00,2.370270674
Canada,1/01/2009 0:00,0.299466803
Canada,1/01/2010 0:00,1.776871541
Canada,1/01/2011 0:00,2.912135089
Canada,1/01/2012 0:00,1.515678231
Canada,1/01/2013 0:00,0.938291898
Canada,1/01/2014 0:00,1.906635907
Cape Verde,1/01/1990 0:00,10.65350579
Cape Verde,1/01/1991 0:00,9.550907413
Cape Verde,1/01/1992 0:00,3.116664327
